# Rescue Logfile. Created by GNU ddrescue version 1.19
# Command line: ddrescue -b 2048 -M -d -v /dev/sr0 image.iso image.log
# Start time:   2015-10-29 09:44:54
# Current time: 2015-10-29 11:28:20
# Trimming failed blocks... (forwards)
# current_pos  current_status
0x6A311800     *
#      pos        size  status
0x692C4800  0x00000800  +
0x692C5000  0x00000800  -
0x692C5800  0x00000800  +
0x692C6000  0x00000800  -
0x692C6800  0x00000800  +
0x692C7000  0x00000800  -
0x692C7800  0x00008800  +
0x692D0000  0x00000800  -
0x692D0800  0x00000800  +
0x692D1000  0x00000800  -
0x692D1800  0x00000800  +
0x692D2000  0x00000800  -
0x692D2800  0x00000800  +
0x692D3000  0x00000800  -
0x692D3800  0x00000800  +
0x692D4000  0x00000800  -
0x692D4800  0x00000800  +
0x692D5000  0x00000800  -
0x692D5800  0x00000800  +
0x692D6000  0x00000800  -
0x692D6800  0x00000800  +
0x692D7000  0x00000800  -
0x692D7800  0x00010800  +
0x692E8000  0x00000800  -
0x692E8800  0x00000800  +
0x692E9000  0x00000800  -
0x692E9800  0x00000800  +
0x692EA000  0x00000800  -
0x692EA800  0x00000800  +
0x692EB000  0x00000800  -
0x692EB800  0x00000800  +
0x692EC000  0x00000800  -
0x692EC800  0x00000800  +
0x692ED000  0x00000800  -
0x692ED800  0x00000800  +
0x692EE000  0x00000800  -
0x692EE800  0x00000800  +
0x692EF000  0x00000800  -
0x692EF800  0x00010800  +
0x69300000  0x00000800  -
0x69300800  0x00000800  +
0x69301000  0x00000800  -
0x69301800  0x00000800  +
0x69302000  0x00000800  -
0x69302800  0x00000800  +
0x69303000  0x00000800  -
0x69303800  0x00000800  +
0x69304000  0x00000800  -
0x69304800  0x00000800  +
0x69305000  0x00000800  -
0x69305800  0x00000800  +
0x69306000  0x00000800  -
0x69306800  0x00000800  +
0x69307000  0x00000800  -
0x69307800  0x00011000  +
0x69318800  0x00000800  -
0x69319000  0x00000800  +
0x69319800  0x00000800  -
0x6931A000  0x00000800  +
0x6931A800  0x00000800  -
0x6931B000  0x00000800  +
0x6931B800  0x00000800  -
0x6931C000  0x00000800  +
0x6931C800  0x00000800  -
0x6931D000  0x00000800  +
0x6931D800  0x00000800  -
0x6931E000  0x00000800  +
0x6931E800  0x00000800  -
0x6931F000  0x00000800  +
0x6931F800  0x00000800  -
0x69320000  0x00010800  +
0x69330800  0x00000800  -
0x69331000  0x00000800  +
0x69331800  0x00000800  -
0x69332000  0x00000800  +
0x69332800  0x00000800  -
0x69333000  0x00000800  +
0x69333800  0x00000800  -
0x69334000  0x00000800  +
0x69334800  0x00000800  -
0x69335000  0x00000800  +
0x69335800  0x00000800  -
0x69336000  0x00000800  +
0x69336800  0x00000800  -
0x69337000  0x00000800  +
0x69337800  0x00000800  -
0x69338000  0x00010800  +
0x69348800  0x00000800  -
0x69349000  0x00000800  +
0x69349800  0x00000800  -
0x6934A000  0x00000800  +
0x6934A800  0x00000800  -
0x6934B000  0x00000800  +
0x6934B800  0x00000800  -
0x6934C000  0x00000800  +
0x6934C800  0x00000800  -
0x6934D000  0x00000800  +
0x6934D800  0x00000800  -
0x6934E000  0x00000800  +
0x6934E800  0x00000800  -
0x6934F000  0x00000800  +
0x6934F800  0x00000800  -
0x69350000  0x00010800  +
0x69360800  0x00000800  -
0x69361000  0x00000800  +
0x69361800  0x00000800  -
0x69362000  0x00011000  +
0x69373000  0x00000800  -
0x69373800  0x00000800  +
0x69374000  0x00000800  -
0x69374800  0x00000800  +
0x69375000  0x00000800  -
0x69375800  0x00000800  +
0x69376000  0x00000800  -
0x69376800  0x00000800  +
0x69377000  0x00000800  -
0x69377800  0x00010800  +
0x69388000  0x00000800  -
0x69388800  0x00000800  +
0x69389000  0x00000800  -
0x69389800  0x00000800  +
0x6938A000  0x00000800  -
0x6938A800  0x00000800  +
0x6938B000  0x00000800  -
0x6938B800  0x00000800  +
0x6938C000  0x00000800  -
0x6938C800  0x00000800  +
0x6938D000  0x00000800  -
0x6938D800  0x00000800  +
0x6938E000  0x00000800  -
0x6938E800  0x00000800  +
0x6938F000  0x00000800  -
0x6938F800  0x00010800  +
0x693A0000  0x00001800  -
0x693A1800  0x00000800  +
0x693A2000  0x00000800  -
0x693A2800  0x00000800  +
0x693A3000  0x00000800  -
0x693A3800  0x00000800  +
0x693A4000  0x00000800  -
0x693A4800  0x00000800  +
0x693A5000  0x00000800  -
0x693A5800  0x00000800  +
0x693A6000  0x00000800  -
0x693A6800  0x00000800  +
0x693A7000  0x00000800  -
0x693A7800  0x00010800  +
0x693B8000  0x00000800  -
0x693B8800  0x00000800  +
0x693B9000  0x00000800  -
0x693B9800  0x00000800  +
0x693BA000  0x00000800  -
0x693BA800  0x00000800  +
0x693BB000  0x00000800  -
0x693BB800  0x00000800  +
0x693BC000  0x00000800  -
0x693BC800  0x00000800  +
0x693BD000  0x00000800  -
