# Rescue Logfile. Created by GNU ddrescue version 1.19
# Command line: ddrescue -b 2048 -d -v /dev/sr0 image.iso image.log
# Start time:   2015-10-15 10:34:38
# Current time: 2015-10-15 11:43:51
# Scraping failed blocks... (forwards)
# current_pos  current_status
0xEAFDD000     /
#      pos        size  status
0x68141800  0x00000800  +
0x68142000  0x00000800  -
0x68142800  0x00000800  +
0x68143000  0x00000800  -
0x68143800  0x00000800  +
0x68144000  0x00000800  -
0x68144800  0x00000800  +
0x68145000  0x00000800  -
0x68145800  0x00000800  +
0x68146000  0x00000800  -
0x68146800  0x00000800  +
0x68147000  0x00000800  -
0x68147800  0x00000800  +
0x68148000  0x00000800  -
0x68148800  0x00000800  +
0x68149000  0x00000800  -
0x68149800  0x00000800  +
0x6814A000  0x00000800  -
0x6814A800  0x00000800  +
0x6814B000  0x00000800  -
0x6814B800  0x00000800  +
0x6814C000  0x00000800  -
0x6814C800  0x00000800  +
0x6814D000  0x00000800  -
0x6814D800  0x00000800  +
0x6814E000  0x00000800  -
0x6814E800  0x00000800  +
0x6814F000  0x00000800  -
0x6814F800  0x00000800  +
0x68150000  0x00008800  -
0x68158800  0x00000800  +
0x68159000  0x00000800  -
0x68159800  0x00000800  +
0x6815A000  0x00000800  -
0x6815A800  0x00000800  +
0x6815B000  0x00000800  -
0x6815B800  0x00000800  +
0x6815C000  0x00000800  -
0x6815C800  0x00000800  +
0x6815D000  0x00000800  -
0x6815D800  0x00000800  +
0x6815E000  0x00000800  -
0x6815E800  0x00000800  +
0x6815F000  0x00000800  -
0x6815F800  0x00000800  +
0x68160000  0x00008800  -
0x68168800  0x00000800  +
0x68169000  0x00000800  -
0x68169800  0x00000800  +
0x6816A000  0x00000800  -
0x6816A800  0x00000800  +
0x6816B000  0x00000800  -
0x6816B800  0x00000800  +
0x6816C000  0x00000800  -
0x6816C800  0x00000800  +
0x6816D000  0x00000800  -
0x6816D800  0x00000800  +
0x6816E000  0x00000800  -
0x6816E800  0x00000800  +
0x6816F000  0x00000800  -
0x6816F800  0x00000800  +
0x68170000  0x00000800  -
0x68170800  0x00000800  +
0x68171000  0x00000800  -
0x68171800  0x00000800  +
0x68172000  0x00000800  -
0x68172800  0x00000800  +
0x68173000  0x00000800  -
0x68173800  0x00000800  +
0x68174000  0x00000800  -
0x68174800  0x00000800  +
0x68175000  0x00000800  -
0x68175800  0x00000800  +
0x68176000  0x00000800  -
0x68176800  0x00000800  +
0x68177000  0x00000800  -
0x68177800  0x00000800  +
0x68178000  0x00008000  -
0x68180000  0x0000C000  +
0x6818C000  0x00000800  -
0x6818C800  0x00000800  +
0x6818D000  0x00000800  -
0x6818D800  0x00000800  +
0x6818E000  0x00000800  -
0x6818E800  0x00000800  +
0x6818F000  0x00000800  -
0x6818F800  0x00000800  +
0x68190000  0x00008800  -
0x68198800  0x00000800  +
0x68199000  0x00000800  -
0x68199800  0x00000800  +
0x6819A000  0x00000800  -
0x6819A800  0x00000800  +
0x6819B000  0x00000800  -
0x6819B800  0x00000800  +
0x6819C000  0x00000800  -
0x6819C800  0x00000800  +
0x6819D000  0x00000800  -
0x6819D800  0x00000800  +
0x6819E000  0x00000800  -
0x6819E800  0x00000800  +
0x6819F000  0x00000800  -
0x6819F800  0x00000800  +
0x681A0000  0x00000800  -
0x681A0800  0x00000800  +
0x681A1000  0x00000800  -
0x681A1800  0x00000800  +
0x681A2000  0x00000800  -
0x681A2800  0x00000800  +
0x681A3000  0x00000800  -
0x681A3800  0x00000800  +
0x681A4000  0x00000800  -
0x681A4800  0x00000800  +
0x681A5000  0x00000800  -
0x681A5800  0x00000800  +
0x681A6000  0x00000800  -
0x681A6800  0x00000800  +
0x681A7000  0x00000800  -
0x681A7800  0x00000800  +
0x681A8000  0x00008800  -
0x681B0800  0x00000800  +
0x681B1000  0x00000800  -
0x681B1800  0x00000800  +
0x681B2000  0x00000800  -
0x681B2800  0x00000800  +
0x681B3000  0x00000800  -
0x681B3800  0x00000800  +
0x681B4000  0x00000800  -
0x681B4800  0x00000800  +
0x681B5000  0x00000800  -
0x681B5800  0x00000800  +
0x681B6000  0x00000800  -
0x681B6800  0x00000800  +
0x681B7000  0x00000800  -
0x681B7800  0x00000800  +
0x681B8000  0x00000800  -
0x681B8800  0x00000800  +
0x681B9000  0x00000800  -
0x681B9800  0x00000800  +
0x681BA000  0x00000800  -
0x681BA800  0x00000800  +
0x681BB000  0x00000800  -
0x681BB800  0x00000800  +
0x681BC000  0x00000800  -
0x681BC800  0x00000800  +
0x681BD000  0x00000800  -
0x681BD800  0x00000800  +
0x681BE000  0x00000800  -
0x681BE800  0x00000800  +
0x681BF000  0x00000800  -
0x681BF800  0x00000800  +
0x681C0000  0x00008800  -
0x681C8800  0x00000800  +
0x681C9000  0x00000800  -
0x681C9800  0x00000800  +
0x681CA000  0x00000800  -
0x681CA800  0x00000800  +
0x681CB000  0x00000800  -
0x681CB800  0x00000800  +
0x681CC000  0x00000800  -
0x681CC800  0x00000800  +
0x681CD000  0x00000800  -
0x681CD800  0x00000800  +
0x681CE000  0x00000800  -
0x681CE800  0x00000800  +
0x681CF000  0x00000800  -
0x681CF800  0x00000800  +
0x681D0000  0x00000800  -
0x681D0800  0x00000800  +
0x681D1000  0x00000800  -
0x681D1800  0x00000800  +
0x681D2000  0x00000800  -
0x681D2800  0x00000800  +
0x681D3000  0x00000800  -
0x681D3800  0x00000800  +
0x681D4000  0x00000800  -
0x681D4800  0x00000800  +
0x681D5000  0x00000800  -
0x681D5800  0x00000800  +
0x681D6000  0x00000800  -
0x681D6800  0x00001800  +
0x681D8000  0x00008000  -
0x681E0000  0x00010000  +
0x681F0000  0x00008800  -
0x681F8800  0x00000800  +
0x681F9000  0x00000800  -
0x681F9800  0x00000800  +
0x681FA000  0x00000800  -
0x681FA800  0x00000800  +
0x681FB000  0x00000800  -
0x681FB800  0x00000800  +
0x681FC000  0x00000800  -
0x681FC800  0x00000800  +
0x681FD000  0x00000800  -
0x681FD800  0x00000800  +
